series,episode,first_name,last_name,baker_occupation,baker_age,hometown,technical,result,signature_bake,show_stopper
4,5,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
4,5,Howard,Middleton,Council Worker,51,Sheffield,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower
4,5,Kimberley,Wilson,Psychologist,30,London,7,IN,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
4,5,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",6,IN,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
4,5,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",4,OUT,Blueberry & Orange Traybake,Dalek
4,5,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
4,5,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,5,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,5,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,5,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,5,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
4,6,Beca,Lyne-Pirkis,Military Wives' Choir Singer,31,"Aldershot, Hampshire",6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
4,6,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
4,6,Frances,Quinn,Children's Clothes Designer,31,"Market Harborough, Leicestershire",2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
4,6,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
4,6,Kimberley,Wilson,Psychologist,30,London,3,IN,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
4,6,Howard,Middleton,Council Worker,51,Sheffield,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
4,6,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",1,STAR BAKER,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
4,6,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,6,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,6,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,6,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,6,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,6,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
4,7,Beca,Lyne-Pirkis,Military Wives' Choir Singer,31,"Aldershot, Hampshire",1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
4,7,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
4,7,Kimberley,Wilson,Psychologist,30,London,4,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
4,7,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",2,IN,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
4,7,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
4,7,Frances,Quinn,Children's Clothes Designer,31,"Market Harborough, Leicestershire",5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
4,7,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,7,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,7,Howard,Middleton,Council Worker,51,Sheffield,NA,NA,NA,NA
4,7,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,7,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,7,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,7,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
4,8,Beca,Lyne-Pirkis,Military Wives' Choir Singer,31,"Aldershot, Hampshire",4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Frances,Quinn,Children's Clothes Designer,31,"Market Harborough, Leicestershire",3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Kimberley,Wilson,Psychologist,30,London,2,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
4,8,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,8,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",1,STAR BAKER,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
4,8,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,8,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,8,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",NA,NA,NA,NA
4,8,Howard,Middleton,Council Worker,51,Sheffield,NA,NA,NA,NA
4,8,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,8,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,8,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,8,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
4,9,Frances,Quinn,Children's Clothes Designer,31,"Market Harborough, Leicestershire",2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
4,9,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",4,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
4,9,Beca,Lyne-Pirkis,Military Wives' Choir Singer,31,"Aldershot, Hampshire",3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
4,9,Kimberley,Wilson,Psychologist,30,London,1,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
4,9,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,9,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",NA,NA,NA,NA
4,9,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,9,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",NA,NA,NA,NA
4,9,Howard,Middleton,Council Worker,51,Sheffield,NA,NA,NA,NA
4,9,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,9,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,9,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,9,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
4,10,Kimberley,Wilson,Psychologist,30,London,1,Runner-up,Chicken and Pig Pie,Languages of Love Wedding Cake
4,10,Ruby,Tandoh,History of Art and Philosophy Student,20,"Southend, Essex",2,Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
4,10,Frances,Quinn,Children's Clothes Designer,31,"Market Harborough, Leicestershire",3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
4,10,Ali,Imdad,Charity worker,25,"Saltley, Birmingham",NA,NA,NA,NA
4,10,Beca,Lyne-Pirkis,Military Wives' Choir Singer,31,"Aldershot, Hampshire",NA,NA,NA,NA
4,10,Christine,Wallace,Director of an engraving company,66,"Didcot, Oxfordshire",NA,NA,NA,NA
4,10,Deborah,Manger,Dentist,51,Peterborough,NA,NA,NA,NA
4,10,Glenn,Cosby,English Teacher,37,"Teignmouth, Devon",NA,NA,NA,NA
4,10,Howard,Middleton,Council Worker,51,Sheffield,NA,NA,NA,NA
4,10,Lucy,Bellamy,Horticulturist,38,"Grimsby, Lincolnshire",NA,NA,NA,NA
4,10,Mark,Onley,Carpenter and Kitchen Fitter,37,Milton Keynes,NA,NA,NA,NA
4,10,Robert,Smart,Space Satellite Designer,54,"Melbourn, Cambridgeshire",NA,NA,NA,NA
4,10,Toby,Waterworth,Web Programmer,30,"Reading, Berkshire",NA,NA,NA,NA
5,1,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
5,1,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",5,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
5,1,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
5,1,Iain,Watters,Construction Engineer,31,London/Belfast,4,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
5,1,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",12,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
5,1,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",6,IN,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
5,1,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",7,IN,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
5,1,Martha,Collison,Student,17,"Ascot, Berkshire",2,IN,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
5,1,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",11,IN,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
5,1,Richard,Burr,Builder,38,"Mill Hill, London",10,IN,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes
5,1,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
5,1,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",1,STAR BAKER,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
5,2,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",8,IN,Fenugreek and Carom Crackers,Day On The Beach
5,2,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",7,IN,Parmesan Triangles,"Express, First Class"
5,2,Iain,Watters,Construction Engineer,31,London/Belfast,11,IN,Za'atar and Fig Biscuits,Wild West Scene
5,2,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",6,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack
5,2,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",4,IN,Parmesan and Apple Biscuits,Tea Time
5,2,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",3,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
5,2,Martha,Collison,Student,17,"Ascot, Berkshire",5,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
5,2,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",2,IN,Fennel and Rye Thins,Hansel and Gretel Scene
5,2,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",10,IN,Farthing Biscuits,Zulu Boats at Dawn
5,2,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
5,2,Richard,Burr,Builder,38,"Mill Hill, London",1,STAR BAKER,Rosemary Seeded Crackers,Pirates!
5,2,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,3,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
5,3,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",7,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel
5,3,Iain,Watters,Construction Engineer,31,London/Belfast,9,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
5,3,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",1,IN,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
5,3,Martha,Collison,Student,17,"Ascot, Berkshire",3,IN,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
5,3,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",5,IN,Cider and Walnut Crusty Rolls,'Full English' Stromboli
5,3,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",4,IN,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
5,3,Richard,Burr,Builder,38,"Mill Hill, London",6,IN,Rye and Cranberry Rolls,Pesto Pinwheel
5,3,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",10,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
5,3,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",2,STAR BAKER,Opposites Attract Rolls,Roscón de Reyes
5,3,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,3,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,4,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
5,4,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",9,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
5,4,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",7,IN,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
5,4,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",2,IN,Pears in Puddings,Bakewell Alaska
5,4,Martha,Collison,Student,17,"Ascot, Berkshire",1,IN,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
5,4,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",4,IN,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
5,4,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",8,IN,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
5,4,Iain,Watters,Construction Engineer,31,London/Belfast,6,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
5,4,Richard,Burr,Builder,38,"Mill Hill, London",5,STAR BAKER,Black Forest Chocolate Fondants,Tiramisu Baked Alaska
5,4,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,4,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,4,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,5,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
5,5,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",6,IN,Tropical Manchester Tart,Four Fruity Seasons Tower
5,5,Martha,Collison,Student,17,"Ascot, Berkshire",1,IN,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
5,5,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",4,IN,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
5,5,Richard,Burr,Builder,38,"Mill Hill, London",7,IN,Fig and Orange Tart,Three Course Autumn Pie Feast
5,5,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",5,OUT,Tarte au Citron,Pieful Tower
5,5,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",3,STAR BAKER,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
5,5,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,WD,NA,NA
5,5,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,5,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,5,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,5,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,6,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,IN,NA,NA
5,6,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",6,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
5,6,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",3,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
5,6,Martha,Collison,Student,17,"Ascot, Berkshire",4,IN,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",1,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
5,6,Richard,Burr,Builder,38,"Mill Hill, London",5,IN,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
5,6,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
5,6,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,6,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,6,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,6,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,6,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",NA,NA,NA,NA
5,7,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,IN,NA,NA
5,7,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",5,IN,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Martha,Collison,Student,17,"Ascot, Berkshire",3,IN,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
5,7,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",2,IN,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
5,7,Richard,Burr,Builder,38,"Mill Hill, London",1,STAR BAKER,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,7,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,7,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,7,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,7,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,7,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",NA,NA,NA,NA
